time,transcript
02:57,because the Patriots had an inside stunt
03:00,that allowed Nick Foles to scramble just
03:02,a bit to his left by that extra time
03:05,[Applause]
03:08,Jeffrey had nine touchdown receptions
03:11,during the regular season from the 49
03:17,is their first running flood it's blunt
03:19,and he will get stuffed by Kyle van Noy
03:22,what looking for his second Super Bowl
03:24,ring in a row won it with New England
03:26,last year and then came over to
03:28,Philadelphia in the offseason how about
03:30,this play by Kyle van Noy just hammering
03:33,off the edge this is exactly where
03:35,they're trying to get the run game going
03:36,you can see the reduced look inside off
03:39,tackle runs are going to be huge but if
03:42,Kyle van Noy plays like that all night
03:44,you can forget that option loss of two
03:47,they have got Jay a jockey who was
03:49,picked up in midseason from Miami he's
03:52,in the backfield
03:53,and here's the first of the run pass
03:55,options the RPO zz's
03:58,these days in the past is incomplete at
04:02,the 38 yard line Torrey Smith could not
04:05,hold it in its third down at 12 to the
04:07,Eagles now for duck Peterson he is not
04:11,going to get beat tonight because he's
04:13,afraid because he's nervous about his
04:15,quarterback we saw it in the
04:17,championship game he is going to dial up
04:20,some shots and we also know from Nick
04:22,Foles that he likes that style he does
04:25,not want to apologize to Bill Belichick
04:27,or anybody he's coming out firing
04:31,third and 12
04:39,fools deep in the pockets fire staff
04:43,that is hold in at the 38 yard line by
04:46,Torrey Smith the former Raven former
04:49,49er tackle there by Eric Rowe a former
04:52,Eagle Deena 15 you need some time for
04:54,this one watch the center here Jason
04:56,Kelsey it looks like he's going to get
04:58,beat on this stunt he recovers just in
05:00,time to allow foals to make the turn and
05:02,pick up that first down
05:06,Kelsey one of the better athletes that
05:09,you will find play in that center
05:10,position nice catch
05:13,I think he is the best Center in the
05:16,league the junkie in the backfield from
05:20,the 38 yard line
05:22,in the RPO and the pass is caught by
05:25,hertz
05:26,the titan he was their leading receiver
05:28,during the regular season cost 74 and
05:31,that eight touchdowns yeah they caught
05:33,Calvin Oy in a coverage where he was
05:35,going to drop back over the middle and
05:37,that time Nick Foles who seems to have
05:40,his eyes working out here you know
05:43,sometimes out early in a Super Bowl
05:44,early in a real pressure situation for
05:47,the quarterback you don't quite get that
05:49,focus going but we saw in the
05:50,championship game and what a drive he's
05:52,putting together here and there's Carson
05:54,Wentz who might have been the MVP had he
05:55,stayed healthy heard against the Rams in
05:58,December and that got foals into the
06:00,lineup second down and three this time
06:02,they handed to a jockey on an inside run
06:05,a giant picks up a ton of yardage after
06:08,contact as those Blount and a giant kind
06:11,of worked his way out of Miami there was
06:13,a lot of Thurman drying down there we
06:17,were there in midseason and you know he
06:20,has a different idea as to why he was
06:21,released the Dolphins will tell you
06:24,another thing but Philadelphia thrilled
06:26,to have al he is a violent runner he is
06:29,a violent finisher he is the guy that is
06:33,on the other half of that RPO if he gets
06:34,going to the outside this offense is
06:37,going to work opening drive of the game
06:40,he goes and he gets tripped up and
06:44,tackled the 21 that's Vannoy already off
06:47,to a great start
06:48,who makes the tackle gain of six second
06:50,down and four so interesting to watch
06:52,these RPO plays you'll see the defense
06:54,basically split these people going here
06:57,they're going there and it leaves a big
06:58,gap right up the middle once again Jason
07:02,Kelsey out front with a key block
07:05,Patriots 29th and yardage allowed
07:08,defensively so that was bad points
07:10,allowed only fifth-wheel sang they've
07:13,been my break and they've been great in
07:15,the red zone second down and four little
07:18,flip out here to Corey Clement make
07:21,lemon gets inside the tenant system a
07:23,first down and goal plummet rookie out
07:26,of Wisconsin undrafted
07:33,once again the stunt catching up you see
07:35,the Patriots looping inside so the
07:38,perfect play call there by Doug Peterson
07:40,and these screens have been fantastic
07:44,not just for Nick Foles but for the
07:46,Eagles throughout the course of these
07:47,playoffs
07:49,[Applause]
07:50,Chris lawn reacting as he takes a look
07:53,at the big screen here comes the 11th
07:56,play of the drive
08:04,to the one-yard line he goes Lorenz guy
08:09,makes the tackle there now this is some
08:14,impressive start isn't it beautiful
08:16,I'm total feel you've got a wonder over
08:18,there Bill Belichick and Matt Patricia
08:20,are probably thinking oh that's
08:21,fantastic give them the ball first won't
08:24,get at the start the second half
08:26,Nick Foles is going to be nervous not
08:28,yet
08:29,Patricia that familiar red vest
08:33,Blunt is the running back
08:35,he already has 10 postseason touchdowns
08:38,in his career and I've got our first
08:40,whistles the Jean starett or we'll take
08:42,the mic for the first time tonight
08:45,number 86
08:50,Zach Ertz the tight end making it second
08:53,down a goal you know al how many times
08:55,have we talked about this Patriots
08:57,defense this year they are the classic
09:00,bin don't break you will always pile up
09:03,a lot of yards against Matt Patricia's
09:05,defense but scoring touchdowns it's a
09:08,different story
09:10,they allowed only six rushing touchdowns
09:13,all season second fewest in the league
09:20,fake toss falls goes the other way and
09:23,throws that out of the back of the
09:24,endzone maggle or the closest to it and
09:27,it will be third down and goal just
09:30,talking about that Patriot defense and
09:33,how good they have been in the red zone
09:36,fourth and touchdown percentage first
09:38,and takeaways points allowed only 3.9
09:42,second best in the league's and they
09:44,give up a ton of yardage a lot of it
09:46,early in the season then they got it
09:48,together and they're very tough down
09:50,here third and goal yeah and now you
09:52,have to start watching the tight in Zach
09:55,Ertz and you watch out Sean Jeffrey Lee
09:57,love those little skinny posts in the
09:59,back the end zone thrown up high
10:05,off play action to the back of the
10:08,endzone and broken up there by row now
10:12,Sean Jeffrey the intended receiver and
10:14,it's interesting that row got the start
10:15,instead of Malcom Butler tonight still
10:18,have to settle for a field goal attempt
10:20,well I think you're gonna recognize this
10:23,name James Harrison coming off the edge
10:26,in no way in the world you're going to
10:28,get a back a giant to come out there and
10:30,make that play and then here's roe on
10:32,the back end they try to get it up high
10:34,let him jump ball but roe got just
10:36,enough of them to not allow that jump to
10:39,take place good stand there by the
10:40,Patriots Jake Elliott a rookie had to
10:43,get him early in the season and Caleb
10:44,Sturgis to hurt opening day
10:47,your art attempt is good so they go from
10:50,the north 26 into field goal range 14
10:53,plays and fill it leads three nothing
10:58,the Hall of Fame class Randy Mawson the
11:02,old Eagle Brian Dawkins already thrilled
11:05,about that Ray Lewis is Bobby better and
11:07,congratulations to him spectacular
11:09,career as a general manager down the
11:12,line we go the brand new hall of fame
11:14,class for 2018 so the Eagles had the
11:19,ball for almost half the quarter and now
11:22,a touch back here as the on Lewis makes
11:25,a name
11:27,wrong with that pass breakup let me come
11:30,back radiant company going to work
11:33,[Music]
11:36,those records figured to stand for a
11:39,long time first of all how many
11:40,quarterbacks are going to get to play in
11:41,eight Super Bowl games two passes
11:43,completions yards touchdowns he owns all
11:47,of those for Brady five and two in his
11:52,seven Super Bowls his first play tonight
11:55,from the 25-yard line they start with a
11:57,fullback Devlin along with Lewis in the
12:01,backfield play-action slip it to the
12:04,other side and Brandon cooks incomplete
12:08,bouncing ball second down and ten of
12:11,course Tom Brady 17 days ago that
12:13,collision with Rex Burkhead
12:16,in practice and the gushing cut he wore
12:20,that tape during the championship game
12:22,but not tonight Chris now he said he was
12:25,ready to go with it might stick a little
12:26,glue on there just to toughen up that
12:28,hand he had a pat on it in the last game
12:31,and he felt like that messed with his
12:33,grip a little bit on the football so
12:35,[Applause]
12:37,no tape nothing got used to it by the
12:39,fourth quarter though rainy throws and
12:43,that'll be caught and that is jeans
12:44,white what a tremendous day in the Super
12:47,Bowl last year is run out by Jenkins and
12:50,that'll be a first down the gain of 15
12:52,yards yeah it's kind of interesting to
12:54,see that Jenkins is going to be on white
12:56,watch this in-and-out route here it is
12:58,the quickness of the New England
13:00,Patriots at the wide receiver position
13:02,that has taken them in many ways to so
13:04,many of these championships to the line
13:06,quickly set up a screen but a flag is
13:09,down that's James white making the grab
13:13,might have been 12 guys on the defense
13:17,that seems to be the initial call from
13:20,Jean Stewart or Brady's so good at
13:21,creating those situations
13:27,[Applause]
13:33,well if there's one guy that knows all
13:37,about Bill Belichick and what he likes
13:39,to do it's that guy right there Jim
13:41,Schwartz he basically got his first job
13:44,with Bill Belichick in Cleveland and he
13:47,was offered an unbelievable deal he got
13:48,to work a hundred hours a week for no
13:51,pay and brought coffee to the secretary
13:54,the truck went shopping for the
13:55,secretaries that they were to important
13:57,trips to the riot on first down and five
14:00,Lois is the running back
14:03,play action good protection wide open
14:06,Chris Hogan who gets inside the 30 takes
14:09,them all down to the Philadelphia 27
14:12,yard line and Dolan with a great block
14:15,and Grady's gonna take them right up to
14:17,the line after a gain of 28 yeah and
14:20,this is going to be an issue I think
14:22,tonight for the Philadelphia Eagles this
14:25,is a team that lost their signal caller
14:28,and Jordan Hicks can they keep up with
14:30,the pace of Tom Brady and around give it
14:34,the Hogan just made that last catch and
14:36,they get spun out of bounds at about the
14:38,23 by Jalen Mills how about Rob
14:42,Gronkowski you think he's back from the
14:44,concussion check this one out go by
14:48,welcome welcome to the Super Bowl
14:51,rookie Derek Barnett got hurt yeah I got
14:54,hurt against Jacksonville it didn't pass
14:56,the concussion protocol until this week
14:59,at the 14 days off Lewis and the
15:04,full-back Devlin in the backfield on
15:05,second down six six and a half minutes
15:08,to go and
15:09,it'll count top three nothing great he's
15:12,finest over the middle caught at the 14
15:14,yard line
15:15,Rob Gronkowski led the team in caches
15:18,this season Rodney McCloud makes the
15:20,stop first down to England play-action
15:23,an issue you put the big pullback in
15:25,James Devlin
15:27,and the middle linebacker reacts and
15:29,they get in behind him that is going to
15:32,be a problem this defense especially
15:34,this one defense of Philadelphia is
15:36,predicated on those linebackers coming
15:39,down hard and making plays in the run
15:41,game very susceptible to play action he
15:43,split the fullback Devlin out this time
15:45,got white in the backfield
15:49,why cause 56 passes this season
15:53,and set the condom and
15:56,yard line is he's able to hold it in
15:59,there white had 20 points in the Super
16:02,Bowl last year three touchdowns and put
16:04,it in the game winner and overtime in a
16:05,two-point conversion there's Josh
16:07,McDaniels offensive coordinator in a
16:09,couple of days he will be the head coach
16:11,of the Indianapolis Colts yeah James
16:12,White has more receptions out of the
16:15,backfield than all the Eagles running
16:17,backs combined Eagles defense six drives
16:21,only one touchdown allowed Patriots have
16:23,gotten into the end zone eight times
16:26,in nine and this is white stopped at the
16:29,line of scrimmage by nigel Bradham
16:31,making it third down yeah now we come
16:36,down to it same situation right both
16:38,teams go up and down the field here are
16:41,the Patriots now with a third down
16:43,inside the 10 yard line can they convert
16:46,they've run seven plays two runs five
16:49,passes
16:54,Gronkowski split out wide that's your
16:57,first option if in fact he doesn't get
16:59,help maybe leaning that way a bit now
17:01,third and four when they send white into
17:05,the slide ready looks that way then
17:08,fires over the minute broken up at the
17:10,goal line Jalen Mills intended for
17:13,Gronkowski and his fourth down
17:15,yeah Brady got away with one there that
17:17,ball was well behind Gronkowski coming
17:20,on the slant coming across the middle
17:21,and Mills I think if he had been able to
17:24,get in front just a bit with his other
17:26,hand might have had an interception
17:27,right there a break for the Patriots
17:30,Stephen gets a ski in his 12th year in
17:33,the league where they had a pair back to
17:36,back end up into Terry there for so long
17:37,it's costing a dozen seasons 26 yard to
17:42,town
17:43,Ryan Allen to put it down and the two
17:47,teams with similar opening drives each
17:49,ending with field goals 3-3 Super Bowl
17:52,52
17:54,Super Bowl 1 you could have gotten into
17:57,that game for 12 bucks Robert Kraft it's
18:01,the ninth time his team has been to the
18:03,Super Bowl but there once before Brady
18:05,and Belichick Jeff flurry watched his
18:08,team in 2004 lose in Jacksonville you
18:12,did the game on Fox to New England was
18:16,exciting game then as well
18:18,his bear fact that first Super Bowl for
18:20,12 bucks he spent 24 bucks on that one
18:24,didn't guy did 49 yard line signals
18:27,perfect
18:30,Kozlowski to kickoff
18:34,[Applause]
18:36,[Music]
18:37,this is returnable two
18:41,to the oil
18:43,barter back up to the 24 we used to call
18:47,off the run pass option but now in the
18:49,vernacular Orfeo yeah and basically all
18:53,it means is the quarterback has the
18:54,option he's going to look at a
18:56,linebacker or a safety or somebody and
18:59,they have gone to that and basically
19:01,decided that Nick polls is just so much
19:05,better running that offense than what he
19:08,was before so during the bye week he was
19:10,able to make the conversion and we see
19:12,the Patriots they've struggled a bit
19:13,against them so Foles going to work here
19:17,starts the game six of nine for 61 yards
19:21,the Peterson in the second year as the
19:23,Eagles coach and he calls the play
19:25,cinnamon twofold
19:29,and that is quite and staying on his
19:31,feet and picking up some extra yards
19:33,about eight total is Nelson a galore had
19:36,two pretty mediocre seasons and then had
19:38,a breakout year this year say what about
19:41,that action after the catch and made
19:44,somebody missed this team in general is
19:47,very good at breaking tackles after the
19:50,catch
19:51,and there goes James Harrison back in
19:54,coverage he's going to take a big shot
19:57,and miss the much shifty er Nelson
20:00,Aguilar Harrison 39 years old oldest
20:02,defensive player in league long time
20:05,Pittsburgh Steeler
20:06,[Applause]
20:09,one over the right side breaks free in
20:13,the patriot territory and spun down at
20:16,the 33 yard line by Dharana harmon the
20:22,former Patriot walked to the races for
20:24,36 yards big guys right up here this is
20:27,the strength of the offensive line for
20:29,the Philadelphia Eagles on that right
20:31,side
20:32,nice job by Wisniewski as well coming
20:34,down and four LeGarrette Blount how much
20:36,do you think he enjoyed that particular
20:38,run he was asked to take a bit of a pay
20:41,cut if he wanted to stay in New England
20:42,he said no thanks I'll take my shot to
20:45,beat you in Philadelphia and there's
20:47,Brandon Graham saluting him from the
20:49,Eagles sideline ball at the 34
20:53,[Applause]
20:59,play action going for it all into the
21:02,endzone
21:06,I'll charge it free for the touchdown
21:12,he beats Eric bro made the big play on
21:15,the first drive to hold him to a field
21:17,goal but not this time
21:18,the former bear 34 yards in a touchdown
21:20,and Nick Foles told us he said early in
21:24,this game I want to be able to take my
21:26,shot and there goes his big guy as we
21:29,have seen these Philadelphia Eagles have
21:32,a way of playing above the rim you watch
21:35,these receivers come on the field you
21:37,think you're getting ready to watch an
21:38,NBA game they go up box out rebound and
21:42,they've been putting points on the board
21:44,with that formula all season long
21:46,they're being scoring play of course
21:47,gets reviewed looks pretty good to us
21:49,from this point
21:52,as they check it out you know the phrase
21:55,these days can you survive the ground
21:57,can any of us survive
22:01,not the underside
22:03,[Applause]
22:05,here we go here we go
22:08,starett or say it's confirmed so if
22:12,putting it with the game's first
22:13,touchdown and Elliott now for the extra
22:16,point
22:20,Jones puts it down and that kick is low
22:25,he missed it once more the foals pass
22:31,into the end zone but they missed the
22:33,extra point and it's 9 to 3
22:42,music's biggest moment of the year the
22:45,Pepsi Super Bowl 50 du halftime show
22:47,featuring Justin Timberlake who released
22:50,his new album man of the woods this
22:52,weekend getting ready to perform at US
22:55,Bank Stadium in Minneapolis as you look
22:57,at downtown Minnie on this frigid Sunday
23:01,night oh please
23:03,hashtag that it's taken over the world
23:05,by everywhere it's everywhere you
23:07,already did a little dance and you
23:08,thought you got out of it in the pregame
23:10,show I'm just telling you right now your
23:13,hashtag has flown around the world and
23:16,back 25 times that is a career-ender
23:19,telling you right now
23:25,on yard-line Dion Lewis
23:28,they'll bring it back to the
23:33,is he man down for the Patriots at the
23:37,25-yard line
23:39,chef flurry exalted along the
23:42,Bradley Cooper
23:47,so brainy goes to work second possession
23:53,Louis is the tailback
23:58,we're the minnow breaks a tackle and
24:00,picks up about eight yards getting to
24:02,the 26 yard line well one of the things
24:06,you have to do is slow down the pass
24:08,rush of this team one of the great ones
24:10,Fletcher Cox right there they're gonna
24:11,trap him early why do you do that to
24:14,give them a lot of different looks
24:16,inside you don't want him just flying up
24:18,the field and getting after Tom Brady
24:20,nice play call whoops
24:23,second at two and that's gone Kowski
24:25,moving around and that'll cost him five
24:27,yards number 87 that's the first penalty
24:37,against the Patriot offense in this
24:41,entire postseason
24:42,I think jeans territory has more fun at
24:44,football than you do he does brought his
24:47,index card tonight had a sign it hello
24:50,as he did the one that got the first
24:54,down for Dallas against Oakland in
24:57,December second down and seven
25:01,Brady stays in the pocket and then the
25:03,pass is incomplete tented therefore
25:06,crisp bogan covered well third down and
25:09,seven one of the big matchups on the
25:12,outside it's going to be Vinny curry
25:14,going against Nate solder at that left
25:16,tackle position you know the Patriots
25:18,are going to want to try and help inside
25:20,where Fletcher Cox and company Brandon
25:23,Graham can really cause some damage in
25:26,there so that means probably Nate solder
25:28,has to stand up all night
25:30,we'll take Chris long with 56 into the
25:33,defensive front
25:39,James White is the back
25:43,[Applause]
25:45,rady under pressure slips away
25:50,freeze Danny Hammond
25:52,and breaking tackles and taking it over
25:54,to the 29 yard line
25:56,Danny playoff Amendola is his new
26:00,nickname there we go right down the
26:03,sidelines going to be right there and
26:05,this is just a blown coverage you saw
26:07,Ronald Darby moving inside it was a zone
26:10,defense and Tom Brady knew it his wide
26:13,receivers on the outside flip-flopped
26:15,spots the Eagles didn't adjust he knew
26:17,exactly what he had
26:18,[Applause]
26:20,a minute to go now in the quarter from
26:22,the 29 yard line play
26:26,fires caught Hogan back Panza and picks
26:29,up a first down on the gain of 12 to the
26:31,17 yard line tackled there by Corey
26:33,Graham when we have seen this Eagles
26:36,defense all season long lead the league
26:39,highest percentage of three and outs and
26:42,yet they are really struggling with this
26:43,pace top rate
26:47,no huddle again
26:50,the 11-yard lump we've had a lot of
26:51,offense I mean we haven't even played a
26:54,quarter New England is 149 yards in New
26:57,England or Philadelphia is 149 in New
27:00,England has 138 and Tom Brady is like do
27:04,not get in arguments or fighters out
27:07,here on the field I think guys are tired
27:09,let's wear them down get out of those
27:11,altercations
27:12,don't let them rotate second and four
27:17,slipping through the middle taking it to
27:20,the eighth and it'll take us to the end
27:21,of the quarter James White is there so
27:25,the next period begins with the third
27:26,down and 1 into 1 9 3 Philadelphia Super
27:30,Bowl 52 an NBC continues after these
27:33,messages
27:34,[Music]
27:38,second quarter
27:40,Al Michaels Cris Collinsworth Michele
27:41,Tafoya there are your stats the update
27:44,there with 289 yards of total offense
27:49,and each quarterback has thrown for over
27:53,a hundred yards already right now at his
27:57,third bound and two as we begin the
28:00,second frame Brandon Bolden comes into
28:03,the game and now they move him into the
28:04,back field behind Brady
28:12,and the mall has handed off to Brandon
28:14,cooks who tries to hurdle and can't
28:18,tackled by McLeod so cooks who came over
28:21,in a trade with the Saints in the
28:23,offseason on the end around McLeod is
28:25,right there jet sweeps gonna come right
28:28,over here and this is the first time
28:30,I've ever seen a straddle into a tackle
28:33,he tries to jump in split and he just
28:37,does not get there so once again the
28:40,Eagles defense makes a very unique stand
28:43,this time inside the 10-yard line Edwin
28:46,Moses a renowned on nehemiah that was
28:49,not woo missed a ski for eight
28:54,26:50 attempt which is juggle and he
28:56,hits the upright Cardona was the snapper
29:02,so each team has missed a kick
29:06,Philadelphian extra point and New
29:09,England missing a field goal attempt
29:13,it's gonna be bobbled inside somehow
29:16,Allen gets it back on the tee and
29:19,Gostkowski tried it tried to slide back
29:22,to the right but caught the upright and
29:25,for Bill Belichick what a disappointment
29:28,he was telling us he felt like that
29:30,special teams were the strengths of this
29:32,team and now it hurts special teams
29:36,coach Joe judge you see that very often
29:40,beautiful loves it of course
29:44,and it's nine to three boy remember that
29:47,tackle on a third and two to set up that
29:51,field goal to set up that mess so now
29:56,from the 20-yard line
30:00,Nichole's who is eight of 11 for 102
30:05,yards
30:06,it tosses it to giant trying to get
30:09,around the corner runs into his own man
30:11,and that's a tough two yards we took him
30:14,down today one of about three really
30:17,core defenses you're gonna see these
30:19,three guys playing inside so now you run
30:23,off tackle or you run outside or you
30:25,throw the football and so the
30:27,Philadelphia Eagles and jhi and now I
30:29,thought one of the huge things that came
30:33,out of this trade with agile is the fact
30:35,that it gave them that outside speed the
30:38,Garrett plant we saw him run up the
30:40,middle he's a big strong guy but a je
30:42,has really made a difference on this
30:44,Eagles team second down and eight on 22
30:50,[Music]
30:52,looked at and he throws that one away
30:57,seems like a million years ago we were
31:00,there opening night in Fox remember how
31:02,it started
31:02,everybody thought New England did so
31:04,much during the offseason they might
31:06,have a perfect season that ended in
31:08,three hours yeah that was pretty
31:09,short-lived there but this is a defense
31:12,for the New England Patriots that has
31:15,made tremendous strides gave up 32
31:17,points a game the first four games of
31:20,the season 300 yard passes the first six
31:22,and yet they pieced it all back together
31:24,and now the pressures on to find some
31:27,answers here tonight start at two and
31:30,two and Counting postseason they've won
31:31,13 of the last 14 only a Monday night
31:34,loss at Miami
31:36,I'm skirt down at eight pulls backing up
31:39,backing away escaping keeps his eyes
31:42,down feeling the pass is incomplete at
31:44,the 30-yard line tended for urge still
31:47,the crowd wants a flag and don't get one
31:51,fourth down yeah I think that Nick Foles
31:54,had a chance here let's take a look it's
31:55,man coverage so everybody's chasing
31:57,everybody here he escapes look out to
32:00,the right probably would have run for
32:02,the first down so the first three and
32:08,out Donny Jones 14 years in the league
32:13,first time he's been in the Superbowl
32:17,[Applause]
32:23,to
32:25,both punters in this game left-footed
32:28,and that's fair caught at the 37 yard
32:30,line by Danny Amendola early in the
32:34,second he goes by 5th
32:36,[Music]
32:41,the Eagle dealer the first team since
32:43,the o2 Buccaneers to reach the Super
32:46,Bowl after allowing fewer than ten
32:48,points per game in the playoffs
32:49,those were the 2002 Buccaneers coached
32:52,by Jon Gruden and went to Tampa Bay that
32:55,year and turned around beat his old team
32:57,Oakland in the Super Bowl in San Diego
32:59,then went back yes he did
33:01,[Applause]
33:06,the lowest is the running back is
33:09,this Drive starts from the 37 yard line
33:13,stepping up
33:15,wide open Brandon cooks and he gets
33:18,smacked down at the 40-yard line
33:20,taking some shock there by Jenkins so he
33:23,was spinning around and he is down and
33:26,the Brady was bent over a little bit
33:28,during the commercial break first out in
33:31,ten but Tom on the worse for wear throws
33:33,almost picked there by Malcolm Jenkins
33:37,intended for James White second down at
33:39,ten wait this was a bit of a surprise
33:41,for me that Malcolm Jenkins is coming
33:44,out and playing man-to-man on James
33:46,White Way got 14 passes and last super
33:49,moment be a surprise but I think most
33:51,people anticipated that Jenkins was
33:54,going to be on Gronkowski but so far
33:56,that matchup is working in the Eagles
33:59,favor meanwhile McDaniels and company
34:01,have to wonder about
34:03,number two receiver they have only four
34:06,wideouts dressed for the game as one
34:10,and scheme their helmet flying DM Lewis
34:13,picks up about five you take a look at
34:17,brainy two Kooks he was the deep threat
34:20,picked him up at a trade with New
34:23,Orleans more than 20 yards downfield 16
34:26,completions Brady's most by one teammate
34:30,in a season
34:32,now the next closest to give you some
34:35,perspective was Randy Moss in that
34:36,unbelievable year he had he did not
34:39,match that number of books Phillip
34:42,Dorsett will take his spot puts his spot
34:44,under 13
34:46,a third and five here
34:49,flip back here today
34:52,and throws and it's Brady who can pull
34:55,it in so Brady was free looks over a
34:59,shoulder trickery and deceit fourth down
35:02,has to be out of the shotgun or this
35:04,play is not legal it obviously is Tom
35:07,Brady is just going to hand off and then
35:10,ignore I he's not doing it
35:11,and there he goes an immediately Chris
35:14,Lauren knew he was in trouble and Brady
35:17,with the bad hand and no tape you wonder
35:21,if maybe that had a little something to
35:23,do with why he didn't want that pat on
35:24,that hand they had that place in the
35:26,back of their mind you do so as forth
35:29,that and 5a go forth from the
35:32,35 yard line
35:39,and Grady down the sideline and this
35:42,incomplete Gronkowski the intended
35:45,receiver Jalen Mills covering on a play
35:48,and fill it up it will take over 11:53
35:54,to the half nine to three
35:59,[Music]
36:02,what's really interesting here Malcom
36:04,Butler hero three years ago in the Super
36:07,Bowl has not played a defensive snap
36:09,tonight the Patriots are telling us a
36:12,coach's decision of course it was easier
36:15,to get information out of East Germany
36:16,before the wall went down than to get
36:19,injury information from New England but
36:21,Butler has not played a defensive snap
36:23,yet Eric Roe has taken his spine here's
36:26,a giant
36:28,it's wrapped up one yard behind the line
36:30,of scrimmage this was during America the
36:33,Beautiful Butler was very emotional on
36:36,the sidelines can't guess what this was
36:40,about but he's played on special teams
36:42,tonight but not on defense well it was a
36:45,beautiful rendition so you never know
36:47,right
36:47,but you have to think that maybe he was
36:50,hurting a bit and you just wonder when
36:52,it was that he got the news or maybe it
36:55,was just the reaction to it maybe it
36:57,wasn't any of the above final year of
36:59,his contract but for a while as if he
37:02,would be sent to the Saints in the
37:03,offseason didn't happen here's a jockey
37:06,trying to break tackles which he does
37:08,with regularity and turns nothing into a
37:11,little something up at the 38 yard line
37:12,Devin McCourty makes the tackle third
37:15,down and 7 I'll tell you this Jay Ajay
37:19,he runs that lead draw about as well as
37:22,anybody they end up pulling Lane Johnson
37:25,around one of the most athletic guys in
37:28,blocking him in there but so far this
37:30,five-man line of the New England
37:33,Patriots has been doing pretty well at
37:35,least in the last couple of series now
37:37,and shutting down that run
37:42,Ajay averaging 3 yards per tote third
37:45,down and seven now from the 38 yard line
37:48,[Applause]
37:52,put an end to Patriot territory goes
37:54,Zach Ertz the tight end in a nineteen
37:59,yeah I think Zach Ertz took a little
38:01,page out of Gronk's book here and it go
38:04,down the field a little bit physical and
38:06,then make the break
38:07,a little bit of a contact not enough for
38:13,a flag I think that was the proper call
38:15,their little Juke I tell you if there's
38:18,one guy that could be an explosive
38:20,element of this game Zach Ertz his wife
38:23,Julie if you follow soccer you know
38:25,she's a key member of the u.s. women's
38:27,team
38:30,from the fortieth three yard line
38:35,keeps it in
38:37,didn't have a grip on it look like now
38:39,Sean Jeffrey the intended receiver will
38:42,be second down at ten you got to worked
38:45,over throw Alshon Jeffery sometimes it's
38:48,interesting I wonder if it'd happen to
38:49,Nick there that sometimes those running
38:51,backs don't know if they're getting the
38:53,ball or not and they can tend to grab at
38:55,it a little bit maybe it jostled it just
38:58,a bit before that throw
38:59,looks like he didn't have a good grip on
39:01,it so it's second down and ten u.s. Bank
39:07,Stadium in the Minneapolis on this Super
39:10,Bowl Sunday night second down 10 from
39:12,the 43 yard line
39:13,[Applause]
39:20,intended for gin free at the 21-yard
39:22,line parade catch over the shoulder
39:27,along the sideline threw it over Stephon
39:30,Gilmore
39:31,that's a game 222 first down yeah watch
39:35,this late adjustment to the ball here
39:37,and I'm a little surprised Chung that
39:40,time ended up being on al Sean Jeffrey
39:43,and we all anticipated that Stephon
39:45,Gilmore was going to be the matchup
39:47,Gilmore all season long has taken the
39:50,bigger of the receivers and yet for
39:52,whatever reason they're not matching him
39:54,against Jeffrey in this one he already
