time,transcript
07:30,THE BALL IS AT THE 16-YARD LINE.
07:32,AND LYNCH CARRIES.
07:34,"""BEAST MODE"" UP TO THE 20-YARD"
07:36,LINE BEFORE HE'S TACKLED BY HALF
07:38,OF THE STATE OF MASSACHUSETTS.
07:40,RUSSELL WILSON.
07:41,WHEN HE FACES SUPER BOWL-WINNING
07:44,QUARTERBACKS -- HIS CAREER NOW
07:46,"THREE YEARS OLD -- HE'S 10-0,"
07:48,INCLUDING A WIN AGAINST
07:49,TOM BRADY WHEN THESE TWO TEAMS
07:52,"LAST MET IN SEATTLE, EARLY IN"
07:54,THE SEASON IN 2012.
07:55,"SEATTLE WON THE GAME, COMING"
07:57,"FROM BEHIND, AND WILSON SAID,"
07:59,"""THAT REALLY GOT US GOING."""
08:03,HE HAD A GOOD YEAR IN '12.
08:04,OF COURSE THEY WON THE
08:06,"SUPER BOWL LAST YEAR, AND THIS"
08:07,YEAR NFC CHAMPS AGAIN.
08:09,SECOND AND 7.
08:11,STACK THREE RECEIVERS TO THE
08:13,LEFT.
08:13,WILSON HAD TO REACH DOWN FOR THE
08:15,SNAP.
08:16,AND THAT'S MARSHAWN LYNCH
08:18,PICKING UP A COUPLE.
08:19,ABOUT 2 YARDS SHY OF THE FIRST.
08:21,THIRD DOWN AND SHORT.
08:23, ONE OF THE THINGS THAT WE'VE
08:25,SEEN IS SOMETIMES WHEN
08:26,"MAX UNGER, THE CENTER, IS MOVING"
08:28,"TO HIS LEFT, THE SNAPS GO TO THE"
08:30,RIGHT.
08:31,THEY HAD AN ISSUE WITH THAT IN
08:32,"THE CHAMPIONSHIP GAME, AND HERE"
08:34,WE GO WITH THE EARLY SNAP WITH
08:36,THE SAME ISSUE.
08:38, THAT'S OF PARTICULAR
08:39,IMPORT -- THEY'RE TRYING TO RUN
08:41,THE READ OPTION.
08:42,CAN THROW ALL THE TIMING OFF.
08:43, NO DOUBT.
08:44, THIRD AND 2.
08:49,THEY GO FOUR WIDE HERE.
08:53,AND LYNCH IS GOING TO GET
08:54,STACKED UP AND STOPPED.
08:58,SO AFTER SEATTLE GETS THAT BREAK
09:00,AND GETS THE BALL AFTER WHAT
09:01,"SHOULD HAVE BEEN ROUGHING,"
09:03,IT'S A THREE-AND-OUT AND THEY'LL
09:04,GET THE BALL BACK.
09:05, BIG VINCE WILFORK RIGHT
09:07,HERE.
09:08,YOU NEED YOUR SUPERSTARS TO
09:09,PLAY HUGE IN THE SUPER BOWL.
09:11,THERE YOU GO.
09:12,HE STANDS HIM UP.
09:13,IT LOOKS LIKE HE'S
09:14,BENCH-PRESSING JUSTIN BRITT OFF
09:16,OF HIM.
09:17,HE MAKES CONTACT -- THOSE HUGE
09:19,"ARMS, HE EXTENDS THEM OUT,"
09:21,"GAINS CONTROL, AND MAKES A BIG"
09:23,PLAY.
09:23, JON RYAN TO PUNT.
09:24,IT WAS RYAN WHO WAS HOLDING ON A
09:26,FAKE FIELD GOAL THAT TURNED INTO
09:28,A TOUCHDOWN WHEN THEY WERE DOWN
09:30,16-0 TO GREEN BAY.
09:31,THAT WAS A HUMONGOUS PLAY IN
09:33,THAT GAME.
09:36,NOSE DOWN WITH A LOT OF
09:38,BACKSPIN.
09:39,FAIRLY SHORT KICK.
09:40,FAIR CATCH CALLED FOR AND MADE
09:42,BY EDELMAN.
09:43,"BILL BELICHICK, NO. 2 PENCIL"
09:46,AT THE READY.
09:48,AT LEAST HE'S NOT WEARING THE
09:49,FLIP-FLOPS THAT HE WORE ALL WEEK
09:51,LONG.
09:51,HE'S GOT HIS SNEAKERS ON TODAY.
09:53, [ LAUGHS ]
09:53,FORMAL WEAR.
09:55, QUITE A SCENE AT MEDIA DAY.
09:58,BRADY TO WORK.
09:59,STARTS FROM THE GUN.
10:01,FROM THE 32.
10:03,PRESSURE PUT ON.
10:04,"VEREEN, WITH SOME HELP OUT IN"
10:06,FRONT.
10:07,TAKES IT OUT TO THE 35-YARD
10:09,LINE.
10:09,THAT'S A SHORT GAIN.
10:11,"KEEP AN EYE, CRIS, OBVIOUSLY ON"
10:13,"KAM CHANCELLOR, WHO GOT BANGED"
10:14,UP IN PRACTICE THE OTHER DAY.
10:16,HURT HIS KNEE AND WEARING A
10:17,BRACE.
10:18, AND HE'S NOT A SPEED PLAYER
10:20,ANYWAY.
10:20,"HE'S ESSENTIALLY, AS"
10:21,"BILL BELICHICK CALLS HIM, A"
10:23,"LINEBACKER, HE'S SO CLOSE TO THE"
10:24,LINE OF SCRIMMAGE.
10:25,BUT HE IS THE HAMMER ON THE BACK
10:27,"END, THE GUY THAT DELIVERS THOSE"
10:29,BIG HITS.
10:30,"AND YOU JUST HAVE TO WONDER NOW,"
10:32,IF HE DOES GET IN MAN-COVERAGE
10:34,"SITUATIONS, WILL HE BE THE SAME?"
10:37, CHANCELLOR PLAYS DOWN LOW.
10:38,EARL THOMAS PLAYS DEEP.
10:40,THEY'VE GOT DEVELIN IN AT
10:42,FULLBACK.
10:42,"THE FAKE TO BLOUNT, AND BRADY"
10:44,FLIPS IT TO THE SIDE FOR A
10:45,FIRST DOWN.
10:46,JULIAN EDELMAN TAKEN OUT THERE
10:49,BY BYRON MAXWELL.
10:50, AND THIS IS EXACTLY THE KIND
10:52,OF GAME THAT THE
10:53,NEW ENGLAND PATRIOTS AND
10:54,TOM BRADY WANTS TO PLAY HERE.
10:56,YOU HAVE TO GET THE BALL OUT OF
10:58,YOUR HANDS QUICKLY WHENEVER YOU
11:00,PLAY AGAINST SEATTLE.
11:02,"AS A MATTER OF FACT, SEATTLE IN"
11:03,"PRACTICE THIS WEEK, AT 2.3"
11:05,"SECONDS, THE COACHES BLEW THE"
11:07,WHISTLE.
11:07,"THEY SAID, ""YOU WILL NOT HAVE"
11:09,ANY MORE TIME THAN THAT TO GET
11:10,"TO TOM BRADY."""
11:17, 8:12 LEFT IN THE OPENING
11:18,QUARTER.
11:21,PATRIOTS LINE UP
11:22,CAMERON FLEMING AT TACKLE AS
11:24,ELIGIBLE.
11:25,THEY DID THAT 28 TIMES IN THE
11:27,AFC CHAMPIONSHIP GAME.
11:28,AND A NICE LITTLE HOLE HERE
11:29,"EXPLOITED BY BLOUNT, TAKING IT"
11:31,ACROSS THE 50 TO THE 49-YARD
11:33,LINE.
11:33,AND THAT WILL MAKE IT SECOND
11:35,DOWN AND 5 FOR THE PATS.
11:37," RYAN WENDELL, ONE OF THEIR"
11:39,"BEST RUN BLOCKERS, IS GONNA LEAD"
11:41,THE WAY ON THE POWER PLAY HERE.
11:43,AND THIS IS WHAT THE PATRIOTS
11:45,ARE HOPING TO DO.
11:46,THE BUZZ WORD FOR THEM THIS WEEK
11:48,"WAS ""CONTROL."""
11:49,"""WE HAVE TO CONTROL THE GAME."""
11:51,"THEY'RE HOPING FOR 30, 35 RUNS"
11:53,IN THIS GAME WITH
11:54,LeGARRETTE BLOUNT.
11:56, AND BLOUNT IN AGAIN.
11:58,NOW YOU'VE GOT DEVELIN AS THE
12:00,FULLBACK.
12:01,HE SCORED A TOUCHDOWN
12:03,IN THE CHAMPIONSHIP GAME.
12:05,BLOUNT SAYS SOMETHING TO DEVELIN
12:07,"AT THE END, AS THE SNAP -- FROM"
12:09,BRADY TO BLOUNT.
12:11,AND HE GETS GANG-TACKLED AS HE
12:13,REACHES THE 48-YARD LINE.
12:15,IT'LL BE THIRD DOWN AND 3.
12:17,TONY McDANIEL RIGHT IN THE
12:18,MIDDLE FOR THE TACKLE.
12:21,JOSH McDANIELS IS THE OFFENSIVE
12:22,COORDINATOR.
12:23,HE HAD BEEN IN NEW ENGLAND.
12:24,"REMEMBER, WENT TO DENVER, THAT"
12:26,DIDN'T WORK OUT.
12:27,WENT TO ST. LOUIS FOR A LITTLE
12:28,WHILE.
12:29,NOW BACK AS THE OFFENSIVE
12:30,COORDINATOR.
12:31,WE THOUGHT HE WOULD BE MUCH IN
12:33,DEMAND WITH THE COACHING
12:34,"VACANCIES, AND HE WAS, BUT HE"
12:35,HAS CHOSEN TO STAY IN
12:37,"NEW ENGLAND, AT LEAST FOR"
12:38,ANOTHER YEAR.
12:41,THIRD AND 3.
12:45,"BRADY, A QUICK TOSS."
12:47,INSIDE SLANT.
12:48,CAN GRONKOWSKI GET THE FIRST
12:50,DOWN?
12:51,HE CAN.
12:52,CHANCELLOR IS THERE TO MAKE THE
12:53,TACKLE.
12:54,"NEEDED 3, GOT 4."
12:55,"FIRST DOWN, NEW ENGLAND."
12:58, JULIAN EDELMAN ON THE
12:59,"INSIDE, JUST GONNA RUN OUT HERE."
13:01,AND THERE IS A COLLISION AND A
13:04,FIRST DOWN.
13:05,TOM BRADY NEVER EVEN GOT A
13:07,CHANCE TO FIND THE LACES ON THAT
13:08,ONE.
13:08,HE DIDN'T CARE.
13:09,"HE FOUND THE BIG GUY, NUMBER 87."
13:13,ONE OF THE THINGS WE KNEW WAS
13:14,GOING TO HAPPEN IS THAT THEY
13:16,WERE GOING TO CHALLENGE
13:17,NATE SOLDER WITH THAT SPIN MOVE
13:19,INSIDE.
13:19,"TWO YEARS AGO, 2012, THEY"
13:23,"PLAYED, CHRIS CLEMONS HAD A"
13:24,LOT OF SUCCESS AGAINST
13:25,NATE SOLDER WITH THAT MOVE.
13:27, EDELMAN IN MOTION TO THE
13:29,OUTSIDE.
13:35,"BRADY IDENTIFYING THE ""MIKE,"" OR"
13:36,MIDDLE LINEBACKER.
13:39,BRADY FLIPS IT AGAIN TO THE
13:40,OUTSIDE.
13:41,VEREEN.
13:43,SHANE VEREEN TO THE 40.
13:44,"BOY, IT'S BEEN A MERRY-GO-ROUND"
13:45,AT RUNNING BACK FOR THE PATRIOTS
13:47,THIS YEAR.
13:47,THEY STARTED WITH STEVAN RIDLEY.
13:49,HE GOT HURT.
13:50,THEN VEREEN.
13:50,THEN JONAS GRAY CAME ON AND WAS
13:52,SPECTACULAR FOR A WHILE.
13:53,"MISSED A MEETING, AND THEN THEY"
13:55,BENCHED HIM AND PUT IN BLOUNT.
13:58, THERE GOES VEREEN OUT.
13:59,BUT WATCH AFTER HE CATCHES THIS
14:01,"BALL, HOW EVERYBODY COMES"
14:02,DOWN -- THREE GUYS RIGHT THERE
14:04,TO MAKE THE TACKLE.
14:06,ONE OF THE BIG POINTS OF
14:08,EMPHASIS IN THIS GAME IS NO
14:09,YARDS AFTER THE CATCH.
14:11,IF THEY CAN TACKLE LIKE THAT ALL
14:13,"DAY, THEY'LL BE FINE HERE."
14:14, GRONKOWSKI SETS UP ON THE
14:16,RIGHT SIDE FOR LEVERAGE.
14:17,"AND BLOUNT FIGHTING HIS WAY,"
14:19,TRYING TO PICK UP THOSE EXTRA
14:21,2 YARDS TO GET THE FIRST.
14:22,"HE'S ABOUT A HALF YARD SHY, AS"
14:24,HE TAKES IT INSIDE THE 35-YARD
14:26,LINE.
14:27,IT WILL BE THIRD AND 1.
14:29, THAT WAS THE QUESTION IN
14:31,THIS GAME -- WHICH OF THESE BIG
14:33,BACKS COULD CONTROL THE GAME?
14:34,"MARSHAWN LYNCH,"
14:36,LeGARRETTE BLOUNT?
14:37,"THE PATRIOTS SAY, ""WE'RE A"
14:38,LONG-DRIVE TEAM.
14:39,WE'VE GOT TO BE ABLE TO STRING
14:41,"THESE TOGETHER LIKE THIS."""
14:42,"AND SO FAR IN THIS ONE, THEY"
14:43,ARE.
14:44, OFTTIMES BRADY LIKES TO
14:46,"SNEAK, BUT NORMALLY IT'S WHEN"
14:48,THEY GET TO THE LINE EARLIER
14:50,THAN THIS.
14:52,THIRD AND 1.
14:54,HANDS IT TO BLOUNT.
14:55,SWINGS TO THE OUTSIDE.
14:56,TURNS THE CORNER.
14:57,PICKS UP THE FIRST DOWN.
14:59,LeGARRETTE BLOUNT TAKES IT TO
15:00,THE 25-YARD LINE.
15:01,EARL THOMAS WITH THAT DISLOCATED
15:03,SHOULDER -- HE TOLD US HE
15:04,COULDN'T HAVE PLAYED IF THIS
15:06,GAME HAD BEEN LAST WEEK -- MAKES
15:07,THE STOP.
15:08, BOUNCE OUT ALL THE WAY.
15:09,THEY'RE GOING TO COME WITH THE
15:11,"FULLBACK, DEVELIN, HERE, WHO'S"
15:12,GONNA GET THAT OUTSIDE EDGE.
15:14,"IT LOOKED LIKE AN INSIDE RUN,"
15:15,BUT THE WHOLE WAY THAT WAS
15:17,INTENDED TO GO OUT ON THE EDGE.
15:18,"AND THERE WAS BYRON MAXWELL,"
15:20,"JUMPED INSIDE, AND PICKED UP A"
15:21,BIG FIRST DOWN.
15:26," PATRIOTS, FOUR FIRST DOWNS"
15:27,IN THE GAME.
15:28,"SEATTLE, NONE."
15:29,THEY HAD A THREE-AND-OUT.
15:31,SIMPLE PLAY THROUGH THE MIDDLE.
15:32,NOT MUCH THERE.
15:34,TAKING IT TO THE 24-YARD LINE
15:36,THROUGH THE MIDDLE IS BLOUNT.
15:40,"IN POSTSEASON PLAY, THE SEATTLE"
15:42,"DEFENSE, WHICH IS SPECTACULAR,"
15:44,"BUT IN THE REGULAR SEASON, AS"
15:46,"YOU CAN SEE, THIRD IN THE"
15:48,"LEAGUE, BUT IN THE TWO"
15:49,"POSTSEASON GAMES, AND THOSE"
15:51,WOULD BE THE GAMES AGAINST
15:53,"CAROLINA AND AGAINST GREEN BAY,"
15:55,AND EDDIE LACY HAD A BIG FIRST
15:57,THREE QUARTERS -- 133 1/2.
15:59,SECOND DOWN AND 8.
16:03,FROM THE 24.
16:08,THE FAKE TO BLOUNT.
16:09,THE PASS TO AMENDOLA.
16:11,AND HE HAS A FIRST DOWN.
16:14,DANNY AMENDOLA MAKES HIS SECOND
16:17,CATCH.
16:19, SO FAR THEY'RE COMPLETELY
16:21,NEUTRALIZING THE RUSH OF
16:22,SEATTLE.
16:23,HERE WE GO.
16:24,JUST RIGHT OUT IN THE FLAT.
16:26,LOOKED LIKE BRADY GAVE A LITTLE
16:28,LOOK INSIDE.
16:28,JEREMY LANE BIT ON THAT.
16:31,"AND SO FAR, THIS DRIVE COULD NOT"
16:33,BE GOING ANY BETTER FOR
16:34,"JOSH McDANIELS, THE OFFENSIVE"
16:36,COORDINATOR.
16:36,EXACTLY WHAT HE HOPED FOR -- BE
16:38,"ABLE TO POUND IT, QUICK PASSES."
16:41, BRADY HAS MISSED ONLY ONE
16:43,PASS -- 8 OF HIS FIRST 9.
16:46,THE BALL IS AT THE 14.
16:48,TOM AGAIN PROTECTED WELL.
16:49,"THROWS TO THE OUTSIDE, TO THE"
16:51,10-YARD LINE.
16:52,THAT WILL BE ABOUT A 4-YARD
16:54,GAIN AS HOOMANAWANUI MAKES THE
16:57,CATCH.
16:58,"IN THE RED ZONE, THE"
16:59,"NEW ENGLAND PATRIOTS, THEY'VE"
17:01,BEEN INSIDE THE 20-YARD LINE ON
17:03,"10 OCCASIONS, HAVE SCORED 9"
17:04,TOUCHDOWNS.
17:05,"AND YOU'RE TALKING ABOUT BRADY,"
17:07,"CRIS -- LOOK, MOST QUARTERBACKS,"
17:08,"OBVIOUSLY, WOULD BE BETTER IN A"
17:10,"CLEAN POCKET, BUT TOM, THE"
17:12,DIFFERENCE BETWEEN HIM IN A
17:13,CLEAN POCKET AND GETTING
17:14,CONTACTED IS ENORMOUS.
17:16," YEAH, IT'S EASY TO HAVE A"
17:17,CLEAN POCKET WHEN YOU'RE
17:18,THROWING IT AFTER ABOUT A SECOND
17:20,AND A HALF.
17:21, RIGHT.
17:22,PART OF THE GAME PLAN.
17:23,SECOND AND 6.
17:26,AND STUFFED IN THE BACKFIELD.
17:28,LeGARRETTE BLOUNT.
17:29,"THAT'S MICHAEL BENNETT,"
17:30,"NUMBER 72, A GUY WHO, IN WHAT IS"
17:32,PRETTY MUCH A STANDARD TYPE OF
17:34,DEFENSE THAT LETS THE GUYS JUST
17:36,"DO THEIR JOBS, HE'S THE ONE GUY"
17:38,WHO MOVES AROUND ON THE LINE.
17:39, RIGHT THERE.
17:41,WILL PLAY ALL FIVE DEFENSIVE
17:42,LINE POSITIONS.
17:43,AND IT'S HIS QUICKNESS THAT IS
17:45,THE BIGGEST CONCERN FOR
17:46,BILL BELICHICK AND THE
17:48,NEW ENGLAND PATRIOTS.
17:49,HE IS A GUY THAT THEY ARE GOING
17:51,TO TRY AND DOUBLE-TEAM AND HIT
17:53,ON A SECONDARY SHOT FROM THE
17:55,CENTER OR SOMEBODY ELSE BECAUSE
17:57,HIS QUICKNESS CREATES REAL
17:58,PROBLEMS.
17:59, THEY'VE HAD THE BALL 7 1/2
18:01,MINUTES.
18:02,HALF THE QUARTER.
18:03,THIRD AND 6.
